,subject,image_id,right,picture_t,sent_t,exist_object,age,sex,object_num,object_person_num,sent_len,target Area Proportion
0,9,0,True,1826.0,5203.0,True,23,male,6,2,6,0.07933554077148436
1,9,1,True,4605.0,1322.0,True,23,male,4,2,4,0.16137969481850117
2,9,2,True,1896.0,1628.0,True,23,male,7,6,3,0.05680589225260416
3,9,3,True,1867.0,1005.0,True,23,male,7,5,6,0.05593743021051255
4,9,4,True,2216.0,1134.0,True,23,male,10,5,3,0.09158368141138498
5,9,5,True,1396.0,1271.0,True,23,male,3,2,4,0.05937824465224667
6,9,6,True,2801.0,4024.0,True,23,male,33,9,9,0.0558711852737467
7,9,7,True,2922.0,1232.0,False,23,male,13,12,10,
8,9,8,True,2293.0,1477.0,False,23,male,3,2,3,
9,9,9,True,1952.0,1269.0,False,23,male,6,3,8,
10,9,10,True,8509.0,1413.0,True,23,male,23,12,8,0.047453544319705096
11,9,11,True,1311.0,1075.0,False,23,male,9,3,4,
12,9,12,True,1686.0,1341.0,False,23,male,16,14,3,
13,9,13,True,1335.0,840.0,True,23,male,4,3,3,0.12236929339871193
14,9,14,True,1386.0,1094.0,False,23,male,8,2,2,
15,9,15,True,1280.0,1139.0,True,23,male,5,3,3,0.10150235234215885
16,9,16,True,1286.0,677.0,True,23,male,4,2,4,0.05243384000651042
17,9,17,True,1710.0,548.0,False,23,male,12,11,7,
18,9,18,True,2495.0,752.0,False,23,male,7,4,2,
19,9,19,True,2729.0,857.0,False,23,male,8,4,8,
20,9,20,True,2535.0,1153.0,True,23,male,19,4,13,0.06712355335771276
21,9,21,True,1034.0,1097.0,True,23,male,4,2,4,0.17563542583626757
22,9,22,True,1392.0,823.0,True,23,male,5,2,7,0.11650467050209203
23,10,0,True,880.0,1707.0,True,23,male,6,2,6,0.07933554077148436
24,10,1,True,854.0,848.0,True,23,male,4,2,4,0.16137969481850117
25,10,2,True,1715.0,634.0,True,23,male,7,6,3,0.05680589225260416
26,10,3,True,1240.0,683.0,True,23,male,7,5,6,0.05593743021051255
27,10,4,True,1075.0,788.0,True,23,male,10,5,3,0.09158368141138498
28,10,5,True,565.0,568.0,True,23,male,3,2,4,0.05937824465224667
29,10,6,True,2176.0,576.0,True,23,male,33,9,9,0.0558711852737467
30,10,7,False,7994.0,894.0,False,23,male,13,12,10,
31,10,8,False,2129.0,622.0,False,23,male,3,2,3,
32,10,9,False,2841.0,723.0,False,23,male,6,3,8,
33,10,10,True,1716.0,709.0,True,23,male,23,12,8,0.047453544319705096
34,10,11,False,1813.0,590.0,False,23,male,9,3,4,
35,10,12,False,1674.0,689.0,False,23,male,16,14,3,
36,10,13,True,1888.0,533.0,True,23,male,4,3,3,0.12236929339871193
37,10,14,False,2357.0,1427.0,False,23,male,8,2,2,
38,11,0,True,574.0,930.0,True,23,male,6,2,6,0.07933554077148436
39,11,1,True,795.0,882.0,True,23,male,4,2,4,0.16137969481850117
40,11,2,True,1192.0,961.0,True,23,male,7,6,3,0.05680589225260416
41,11,3,True,991.0,669.0,True,23,male,7,5,6,0.05593743021051255
42,11,4,True,631.0,1068.0,True,23,male,10,5,3,0.09158368141138498
43,11,5,True,1193.0,646.0,True,23,male,3,2,4,0.05937824465224667
44,11,6,True,2583.0,647.0,True,23,male,33,9,9,0.0558711852737467
45,11,7,True,2121.0,740.0,False,23,male,13,12,10,
46,11,8,True,736.0,819.0,False,23,male,3,2,3,
47,11,9,True,1146.0,732.0,False,23,male,6,3,8,
48,11,10,True,979.0,582.0,True,23,male,23,12,8,0.047453544319705096
49,11,11,True,737.0,918.0,False,23,male,9,3,4,
50,11,12,True,977.0,643.0,False,23,male,16,14,3,
51,11,13,False,1326.0,599.0,True,23,male,4,3,3,0.12236929339871193
52,11,14,True,1151.0,614.0,False,23,male,8,2,2,
53,11,15,True,881.0,563.0,True,23,male,5,3,3,0.10150235234215885
54,11,16,True,932.0,670.0,True,23,male,4,2,4,0.05243384000651042
55,11,17,True,863.0,1166.0,False,23,male,12,11,7,
56,11,18,True,1617.0,668.0,False,23,male,7,4,2,
57,11,19,True,1607.0,669.0,False,23,male,8,4,8,
58,11,20,False,1870.0,1050.0,True,23,male,19,4,13,0.06712355335771276
59,11,21,True,564.0,817.0,True,23,male,4,2,4,0.17563542583626757
60,11,22,True,658.0,686.0,True,23,male,5,2,7,0.11650467050209203
61,11,23,True,503.0,1467.0,True,23,male,3,2,4,0.30480195866666654
62,11,24,False,3858.0,6311.0,False,23,male,7,4,21,
63,11,25,True,805.0,1608.0,True,23,male,7,4,9,0.06720385783450704
64,11,26,False,908.0,792.0,True,23,male,11,7,6,0.16774556041422714
65,11,27,True,1504.0,537.0,True,23,male,8,5,5,0.044512580729166674
66,11,28,True,865.0,869.0,False,23,male,7,3,7,
67,11,29,False,2266.0,964.0,True,23,male,13,11,13,0.08386176215277776
68,11,30,False,2159.0,1894.0,False,23,male,19,18,15,
69,11,31,True,762.0,688.0,False,23,male,8,7,8,
70,11,32,True,876.0,789.0,True,23,male,4,2,7,0.11873057682291664
71,11,33,True,1718.0,870.0,False,23,male,4,2,5,
72,11,34,True,3004.0,1031.0,False,23,male,4,2,11,
73,11,35,True,1202.0,581.0,True,23,male,7,2,4,0.05901558533333333
74,11,36,True,1673.0,600.0,True,23,male,10,9,10,0.024807356567382803
75,11,37,True,1215.0,571.0,False,23,male,5,2,8,
76,11,38,True,794.0,893.0,True,23,male,5,2,4,0.19203041941754695
77,11,39,True,887.0,1006.0,True,23,male,6,3,4,0.06790933494373781
78,11,40,True,1335.0,593.0,False,23,male,8,7,2,
79,11,41,False,4098.0,1072.0,False,23,male,18,13,5,
80,11,42,True,1622.0,812.0,True,23,male,5,3,8,0.13581856204156473
81,11,43,True,960.0,538.0,True,23,male,16,8,9,0.12506303613281247
82,11,44,True,1627.0,917.0,True,23,male,5,4,7,0.23060029333333337
83,11,45,True,609.0,529.0,True,23,male,9,4,4,0.07582185638142522
84,11,46,True,820.0,556.0,True,23,male,7,3,4,0.08358820003531073
85,11,47,True,1674.0,1377.0,False,23,male,2,2,7,
86,11,48,False,931.0,608.0,False,23,male,3,2,12,
87,11,49,True,2231.0,572.0,False,23,male,4,2,5,
88,11,50,True,1001.0,826.0,False,23,male,5,2,12,
89,11,51,True,1395.0,889.0,False,23,male,17,6,12,
90,11,52,True,1420.0,660.0,False,23,male,6,2,2,
91,11,53,True,715.0,621.0,True,23,male,3,2,4,0.1788240727968096
92,11,54,True,895.0,486.0,False,23,male,5,2,11,
93,11,55,True,900.0,630.0,True,23,male,24,8,9,0.06307643112470518
94,11,56,True,915.0,779.0,False,23,male,6,3,2,
95,11,57,False,3150.0,1446.0,True,23,male,7,2,11,0.051636123276115005
96,11,58,True,1642.0,803.0,False,23,male,3,3,8,
97,11,59,True,862.0,1005.0,True,23,male,6,3,8,0.03906984252354788
98,11,60,True,1280.0,672.0,False,23,male,4,4,12,
99,11,61,True,1417.0,787.0,False,23,male,5,4,10,
100,11,62,True,890.0,563.0,True,23,male,9,4,8,0.2083508837890625
101,11,63,False,2413.0,714.0,False,23,male,11,2,15,
102,11,64,True,1130.0,579.0,False,23,male,20,9,6,
103,11,65,True,1314.0,683.0,False,23,male,4,2,11,
104,11,66,True,719.0,1012.0,True,23,male,5,3,5,0.24814582480000003
105,11,67,True,876.0,424.0,True,23,male,12,8,8,0.17004618522135412
106,11,68,True,994.0,492.0,False,23,male,10,3,7,
107,11,69,True,2457.0,1390.0,False,23,male,11,10,12,
108,11,70,True,1532.0,595.0,False,23,male,12,2,14,
109,11,71,True,1656.0,805.0,False,23,male,7,4,8,
110,11,72,True,1563.0,2309.0,False,23,male,3,2,20,
111,11,73,False,1387.0,561.0,True,23,male,6,3,2,0.04552086101541994
112,11,74,True,2846.0,1038.0,True,23,male,9,7,10,0.042352121267564394
113,11,75,True,1715.0,949.0,False,23,male,5,5,7,
114,11,76,True,939.0,648.0,True,23,male,7,3,5,0.14747116746115818
115,11,77,True,1280.0,670.0,True,23,male,3,2,8,0.07533957112630209
116,11,78,True,1953.0,494.0,False,23,male,10,8,7,
117,11,79,False,1785.0,1059.0,False,23,male,10,5,12,
118,11,80,True,746.0,1073.0,True,23,male,4,2,2,0.22994266009221312
119,11,81,False,3182.0,708.0,False,23,male,12,11,8,
120,11,82,True,890.0,890.0,True,23,male,5,2,4,0.05136393662177986
121,11,83,True,1145.0,628.0,False,23,male,15,12,10,
122,11,84,True,895.0,610.0,True,23,male,5,2,5,0.07433707447562357
123,11,85,True,1020.0,615.0,True,23,male,7,2,10,0.10330699055989583
124,11,86,True,1610.0,814.0,False,23,male,13,6,9,
125,11,87,True,1317.0,1077.0,True,23,male,13,11,12,0.18816536738875886
126,11,88,True,2085.0,979.0,False,23,male,12,4,5,
127,11,89,True,1242.0,930.0,True,23,male,15,13,5,0.08290406726726725
128,11,90,True,1423.0,803.0,False,23,male,2,1,9,
129,11,91,True,1636.0,508.0,True,23,male,7,3,8,0.24057339249121773
130,11,92,True,1656.0,702.0,False,23,male,8,7,2,
131,11,93,False,3823.0,636.0,False,23,male,16,10,6,
132,11,94,True,2314.0,586.0,False,23,male,15,11,3,
133,11,95,True,1955.0,1088.0,True,23,male,16,5,14,0.04280135349264706
134,11,96,False,169.0,560.0,True,23,male,13,4,8,0.0455782176724138
135,11,97,True,1576.0,645.0,False,23,male,9,8,5,
136,11,98,True,1357.0,737.0,False,23,male,9,3,7,
137,11,99,True,1157.0,536.0,True,23,male,7,4,4,0.09411799454771663
138,12,0,True,1508.0,4596.0,True,23,female,6,2,6,0.07933554077148436
139,12,1,True,1357.0,1137.0,True,23,female,4,2,4,0.16137969481850117
140,12,2,True,2332.0,1283.0,True,23,female,7,6,3,0.05680589225260416
