,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,0.288021534320323_0.36983842010771995,0.4899057873485868_0.7719928186714542,0.651497005988024_0.5008976660682226,0_0,0_0,0.34285714285714286_0.6265709156193896,0.4786516853932584_0.2926391382405745,0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.30551816958277256_0.27827648114901254,0.46567967698519513_0.7432675044883303,0.7532934131736527_0.2710951526032316,0_0,0.6286919831223629_0.4236983842010772,0.3517857142857143_0.6427289048473968,0_0,0_0,0_0,0_0,0_0,0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.28160919540229884_0.2837423312883436,0.48160919540229885_0.3619631901840491,0.7934560327198364_0.3619631901840491,0_0,0.8607442977190877_0.2254601226993865,0.3526717557251908_0.6180981595092024,0.46449136276391556_0.3282208588957055,-1_-1,0.8298850574712644_0.7423312883435583,0.7511916110581506_0.6180981595092024,-1_-1,0_0,0_0,-1_-1,0.8343558282208589_0.5398773006134969,0.6252873563218391_0.5030674846625767,0_0,0.17995910020449898_0.4371165644171779,-1_-1,-1_-1,0.7010204081632653_0.4708588957055215,0.4621676891615542_0.4493865030674847,0_0,0.3824130879345603_0.4187116564417178,-1_-1,0_0,0.6022988505747127_0.6150306748466258,0.2631578947368421_0.3665644171779141,-1_-1,0.050102249488752554_0.43098159509202455,0.5327868852459017_0.5644171779141104,0.8824130879345603_0.8236196319018405,0_0,0.593103448275862_0.47699386503067487,-1_-1,-1_-1,-1_-1,-1_-1,-1_-1,0.2725_0.3895705521472393,0.3306122448979592_0.7530674846625767,0.5712589073634204_0.2361963190184049,0.7505091649694501_0.1901840490797546,0.4887295081967213_0.4110429447852761,-1_-1,-1_-1,0.16666666666666666_0.7208588957055214,-1_-1,0.4570552147239264_0.5076687116564417,-1_-1,-1_-1,0.8578732106339468_0.4570552147239264,-1_-1,-1_-1,0_0,0.4149746192893401_0.6119631901840491,0_0,-1_-1,-1_-1,0.18088386433710174_0.7975460122699386,0.8685326547921968_0.08742331288343558,-1_-1,0.1520408163265306_0.5153374233128835,0.5981308411214953_0.6441717791411042,0.3218274111675127_0.553680981595092,0.6448275862068965_0.36349693251533743,0.25357873210633947_0.3236196319018405,-1_-1,0_0,0.5334872979214781_0.5920245398773006,0.7849344978165939_0.5920245398773006,0.946775844421699_0.19171779141104295,0.868448098663926_0.2960122699386503,-1_-1,0.6540816326530612_0.5398773006134969,-1_-1,0_0,-1_-1,0.2883435582822086_0.661042944785276,-1_-1,0.8517241379310345_0.27607361963190186,0.02981651376146789_0.4187116564417178,0.6954022988505747_0.7607361963190185,0.5685071574642127_0.2883435582822086,0.7157464212678937_0.294478527607362,0.7793103448275862_0.5843558282208589,0.9310344827586207_0.5199386503067485,0.9551724137931035_0.3558282208588957,-1_-1,0.11349693251533742_0.8650306748466258,-1_-1,0.6842837273991655_0.49693251533742333,0_0,-1_-1,-1_-1,0_0,0.22580645161290322_0.15644171779141106,0.17007434944237917_0.843558282208589,0_0,-1_-1
3,0.29540229885057473_0.3496932515337423,0.48735632183908045_0.38650306748466257,0.8169734151329243_0.3098159509202454,-1_-1,0.8679471788715486_0.23159509202453987,0.3755725190839695_0.6595092024539877,0.3474088291746641_0.5107361963190185,-1_-1,0_0,0.7435653002859867_0.5782208588957055,-1_-1,-1_-1,-1_-1,-1_-1,0.8149284253578732_0.5184049079754601,0.6655172413793103_0.5245398773006135,0.28102189781021897_0.5996932515337423,0.19222903885480572_0.4049079754601227,-1_-1,-1_-1,0.6938775510204082_0.45245398773006135,0.4437627811860941_0.455521472392638,0.3022113022113022_0.6702453987730062,0.3588957055214724_0.37423312883435583,-1_-1,0.26436781609195403_0.7147239263803681,0.596551724137931_0.6012269938650306,0.12465373961218837_0.40644171779141103,-1_-1,0.0541922290388548_0.4187116564417178,0.5307377049180327_0.5751533742331288,0.8057259713701431_0.7653374233128835,-1_-1,0.5908045977011495_0.48006134969325154,-1_-1,-1_-1,0.15349369988545247_0.6457055214723927,-1_-1,-1_-1,0.2175_0.4647239263803681,0.2979591836734694_0.7055214723926381,0.49643705463182897_0.18404907975460122,0.7494908350305499_0.19785276073619631,0.5_0.33588957055214724,-1_-1,-1_-1,0.11724137931034483_0.696319018404908,0.17791411042944785_0.4677914110429448,0.4611451942740286_0.49846625766871167,-1_-1,-1_-1,0.8220858895705522_0.4401840490797546,-1_-1,-1_-1,0.8804597701149425_0.8128834355828221,0.3895939086294416_0.5736196319018405,-1_-1,-1_-1,-1_-1,0.19116135662898254_0.8067484662576687,0.8600508905852418_0.07975460122699386,-1_-1,0.9163265306122449_0.45858895705521474,0.5903426791277259_0.6380368098159509,-1_-1,0.19540229885057472_0.7484662576687117,0.22903885480572597_0.3159509202453988,-1_-1,0_0,0.45958429561200925_0.549079754601227,0.7925764192139738_0.5950920245398773,0.9498464687819856_0.16104294478527606,0.8540596094552929_0.3067484662576687,-1_-1,0.6285714285714286_0.5996932515337423,-1_-1,0.8367816091954023_0.46932515337423314,-1_-1,0.2995910020449898_0.651840490797546,-1_-1,0.8574712643678161_0.4677914110429448,0.06192660550458716_0.4447852760736196,0.7241379310344828_0.74079754601227,0.5848670756646217_0.44631901840490795,0.7177914110429447_0.7530674846625767,0.7942528735632184_0.5736196319018405,-1_-1,0.9287356321839081_0.37423312883435583,-1_-1,0.06441717791411043_0.7944785276073619,-1_-1,0.6606397774687065_0.5030674846625767,-1_-1,-1_-1,0.983640081799591_0.09815950920245399,0.12183908045977011_0.49846625766871167,0.20276497695852536_0.17791411042944785,0.14033457249070633_0.8144171779141104,0_0,-1_-1
4,0.3137931034482759_0.3236196319018405,0.4827586206896552_0.3205521472392638,0.8128834355828221_0.4493865030674847,-1_-1,0.8763505402160864_0.299079754601227,0.3435114503816794_0.6426380368098159,0.4894433781190019_0.3205521472392638,0_0,0.8850574712643678_0.5690184049079755,0.7435653002859867_0.5567484662576687,-1_-1,0_0,0.4846938775510204_0.34662576687116564,-1_-1,0.820040899795501_0.5659509202453987,0.6195402298850575_0.49233128834355827,0.2563868613138686_0.6411042944785276,0.5316973415132924_0.455521472392638,-1_-1,-1_-1,0.7673469387755102_0.3834355828220859,0.4550102249488753_0.4432515337423313,0.7297297297297297_0.6088957055214724,-1_-1,-1_-1,0.7816091954022989_0.5613496932515337,0.6183908045977011_0.5628834355828221,0_0,-1_-1,0_0,0.5706967213114754_0.5797546012269938,0.885480572597137_0.8312883435582822,0.4130879345603272_0.3665644171779141,0.5747126436781609_0.5245398773006135,-1_-1,-1_-1,-1_-1,-1_-1,-1_-1,0.215_0.4432515337423313,0.34285714285714286_0.7361963190184049,0.5653206650831354_0.2607361963190184,0.7423625254582484_0.19325153374233128,0.4661885245901639_0.2147239263803681,-1_-1,0.4_0.39723926380368096,0.1425287356321839_0.7254601226993865,-1_-1,-1_-1,0.11451942740286299_0.8834355828220859,-1_-1,0.47648261758691207_0.5184049079754601,-1_-1,-1_-1,-1_-1,0.41751269035532995_0.6058282208588958,-1_-1,-1_-1,-1_-1,-1_-1,0.27989821882951654_0.06748466257668712,-1_-1,0.17551020408163265_0.5444785276073619,0.6137071651090342_0.6334355828220859,0_0,0.10574712643678161_0.5,0.278118609406953_0.3113496932515337,0.18574108818011256_0.6779141104294478,0_0,0.5450346420323325_0.5812883435582822,0_0,0_0,-1_-1,-1_-1,0.3663265306122449_0.6411042944785276,-1_-1,0_0,0.8004223864836325_0.5383435582822086,0.2934560327198364_0.6825153374233128,-1_-1,0.8666666666666667_0.27607361963190186,0.09862385321100918_0.39570552147239263,0.21379310344827587_0.22699386503067484,0.5920245398773006_0.30214723926380366,0.696319018404908_0.4570552147239264,-1_-1,0_0,0.9540229885057471_0.3496932515337423,-1_-1,0.13394683026584867_0.8174846625766872,-1_-1,0.7079276773296245_0.40644171779141103,-1_-1,-1_-1,0_0,0.7517241379310344_0.47699386503067487,0.2488479262672811_0.21932515337423314,0.766728624535316_0.50920245398773,-1_-1,0.7893660531697342_0.254601226993865
5,0.2785714285714286_0.4319654427645788,0.5244897959183673_0.7789776817854571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.2772543741588156_0.42190305206463197,0.5006729475100942_0.7881508078994613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.3001345895020188_0.4129263913824057,0.5020188425302826_0.8276481149012568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.27_0.2438095238095238,0.5028571428571429_0.2838095238095238,0.7827191867852605_0.32571428571428573,-1_-1,0.8852459016393442_0.26666666666666666,0.3731060606060606_0.56,0.38663484486873506_0.4876190476190476,-1_-1,0.28714285714285714_0.34285714285714286,0.7227488151658767_0.5695238095238095,-1_-1,0_0,0.4892268694550063_0.4114285714285714,-1_-1,0.866581956797967_0.5238095238095238,0.6985714285714286_0.5314285714285715,-1_-1,0.17258883248730963_0.4723809523809524,-1_-1,-1_-1,0.7249683143219265_0.49333333333333335,0.42820838627700125_0.42857142857142855,0.3944954128440367_0.5371428571428571,-1_-1,-1_-1,0.16142857142857142_0.4895238095238095,0.64_0.49714285714285716,0.24398625429553264_0.540952380952381,-1_-1,0_0,0.621656050955414_0.4666666666666667,0.8271918678526048_0.7257142857142858,0.5101522842639594_0.46285714285714286,0_0,-1_-1,-1_-1,0_0,-1_-1,-1_-1,0.2826086956521739_0.5066666666666667,0.3181242078580482_0.7485714285714286,0.5545722713864307_0.22857142857142856,0.7509481668773704_0.1657142857142857,0.49554140127388535_0.34285714285714286,0.7907542579075426_0.3580952380952381,0_0,-1_-1,-1_-1,0.4866581956797967_0.5104761904761905,-1_-1,-1_-1,0.4332909783989835_0.5561904761904762,0_0,-1_-1,0_0,0.3501577287066246_0.5980952380952381,0.07984790874524715_0.7314285714285714,-1_-1,0_0,-1_-1,0_0,0_0,0.9416983523447402_0.45714285714285713,0_0,0.3203026481715006_0.5333333333333333,0_0,0.3096446700507614_0.22476190476190477,-1_-1,0_0,0.6590257879656161_0.49714285714285716,0.7706919945725916_0.6,0.9427480916030534_0.5714285714285714,0.8737244897959183_0.29714285714285715,0_0,0.679340937896071_0.6019047619047619,-1_-1,0_0,0_0,0.3189326556543837_0.5638095238095238,-1_-1,0.8814285714285715_0.3047619047619048,0.06552706552706553_0.37333333333333335,0.6357142857142857_0.780952380952381,0.5158831003811944_0.4247619047619048,0.7293519695044473_0.7752380952380953,0_0,-1_-1,0.9571428571428572_0.3352380952380952,0_0,0.096569250317662_0.7752380952380953,-1_-1,0.6770293609671848_0.5314285714285715,0_0,-1_-1,-1_-1,0.15428571428571428_0.29714285714285715,0.4228571428571429_0.2038095238095238,0.2113163972286374_0.7428571428571429,-1_-1,-1_-1
9,0.739963503649635_0.3686131386861314,0.24695863746958638_0.7463503649635036,0.6470588235294118_0.3175182481751825,0.08446866485013624_0.4726277372262774,0.10800970873786407_0.7116788321167883,0.18526785714285715_0.6277372262773723,0.8185745140388769_0.26094890510948904,-1_-1,-1_-1,-1_-1,0.359192348565356_0.3156934306569343,-1_-1,-1_-1,0.7445255474452555_0.9142335766423357,-1_-1,0.16923076923076924_0.666058394160584,0.1436388508891929_0.6879562043795621,-1_-1,-1_-1,-1_-1,0.0642570281124498_0.6861313868613139,0.6371359223300971_0.6167883211678832,0.5190735694822888_0.6441605839416058,0.18004866180048662_0.6441605839416058,-1_-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
